page,track,courses,branchs,staff,track_purpose,track_opportunities
http://www.iti.gov.eg/Admission/PTPprogram/intake41/MGUtrack,2D Animation and Motion Graphics ,"2d Animation,2D Animation Tools and Techniques,3D Motion Graphic Fundamentals,Adobe Illustrator CC,Advanced Presentation Skills,Animation: 12 Principles,Animation: Acting,Animation: Body Mechanics,Art History,Business Communication,Character Design,Cinema 4D Foundation,Cinematography: Composition Theory,Cinematography: Lighting,Digital Painting,Environment Design,Film language and Directing,Illustrator for Motion Graphics,Interviewing Skills,Introduction to Motion Graphics,Motion Graphics Techniques,Presentation Skills,Principles of Successful Teamwork,Script Writing,Sound Editing & Sound Mixing,storyboard fundamentals,Vector Art & Design,Video Editing and Motion Graphics",Smart Village,"Ahmed Kamal Elsheikh,Saad Badr Ismail","Motion graphics Artist creates graphics, animations and live video content for use in different multimedia projects, and it could be for Smartphones, Web, Television and Cinema, among other media. Other projects may include post-production work, as well as multimedia campaigns, technical illustrations and computer artwork for use in a variety of materials. Our graduates have a distinct employment advantage. In addition, graduates will develop strong team work and project management skills.","Motion Graphics Artist,Concept Artist,2D animator,illustrator artist"
http://www.iti.gov.eg/Admission/PTPprogram/intake41/EWDtrack,Enterprise & Web Apps Development (java),"Advanced GUI using JavaFX,Advanced Presentation Skills,Agile Software Development Methodologies,Asynchronous JavaScript & XML(AJAX),Business Communication,Computer Networks Fundamentals,Concurrency Programming using Java Programming,Core Java Programming,Core Spring Framework,CSS 3.0,Data Structures and Algorithms,Database Fundamentals,Database Programming using Java Programming ,Developing Dynamic Web Applications using Servlets and JSP,Developing Web Application using Angular,Enterprise Java Beans (EJB),GUI using Java Programming ,HTML5,I/O and Network Programming using Java Programming,Interviewing Skills,Introduction to JavaScript,Introduction to Object Oriented Programming using C++,Introduction to Oracle SQL and PL/SQL,Introduction to ORM (Object-Relational Mapping),Introduction to Software Engineering,Introduction to XML ,Java API for Restful Web Service,Java API for XML Processing  ,Java Design Patterns,Java Server Faces (JSF),Java Web Services,Object Oriented Analysis & Design using UML,Operating Systems Fundamentals,Principles of Successful Teamwork,Project Configuration Management,Secure Applications using Spring ,Spring Data Access,Spring Framework Aspect Oriented Programming ,Spring Framework Remote Services,Spring Web MVC,SpringFramework Boot ,Versioning Control Systems",Smart Village,"Mohsen Mahmoud Ahmed Mohamed Diab,Eman Hesham Hassan,Ahmed Mohamed Husein Mazen,Ahmed Mostafa Amin Aboulroos,Esraa Eid Awad Hassan,Mona Mahrous Mohammed","Enterprise & Web Applications Development track aims to graduate professional world-class Java developers, who are capable of using different Java technologies in diverse application domains.
The track structure is based mainly on Java Enterprise Edition (JEE) and Spring Framework technologies  with the help of other technologies and techniques; to get the skills of how you can build database driven custom web applications and enterprise applications. 
An Intensive soft skills package is also delivered so that graduates can deeply understand how to manage projects and build teams.","Web Application Developer,Enterprise Applications Developer,Backend Developer"
http://www.iti.gov.eg/Admission/PTPprogram/intake41/UIDtrack,Web & User Interface Development,".Net Design Patterns,Advanced C# Programing,Advanced Frontend Technologies,Advanced JavaScript ,Advanced Presentation Skills,Agile Software Development Methodologies,AJAX,Angular,Building Web Templates,Business Communication,Computer Networks Fundamentals,Data Structures and Algorithms,Database Fundamentals,Design Concepts,E-Business Fundamentals,Effective Communication Skills,Effective Presentation Skills,Entity Framework ,HTML and CSS,HTML5 & CSS3,Internet Marketing,Interviewing Skills,Introduction to Adobe Illustrator,Introduction to Adobe Photoshop,Introduction to JavaScript,Introduction To Programing Using C#,Introduction to Software Engineering,JavaScript Libraries,Language Integrated Query (LINQ),Marketing Management Principles,Microsoft ASP.NET Core Essentials,Microsoft SQL Server,MongoDB,Node.js,Object Oriented Programing using C#,OData And Web API,Operating Systems Fundamentals,Principles of Successful Teamwork,React.js,Responsive Design,Source Control,Typescript,Usability & User Experience,Web Server Administration – IIS,Web Testing,XML Fundamentals","Ismailia,Smart Village","Basma Salah abd elmonsef,Ahmed Zaghloul Hazaa,Menna Tollah Hassan Shata",Web & User Interface Development track Aims to graduate calibers able to work in the field of designing and developing applications user interface taking into consideration the user experience theories.,"Front-End Developer,Full Stack Developer,MEAN Stack Developer,MERN Stack Developer,JavaScript Developer,UI Developer"
http://www.iti.gov.eg/Admission/PTPprogram/intake41/IoTtrack,Internet of Things Applications Development,"Advanced Presentation Skills,Agile Software Development Methodologies,Angular,Apache Web Server,Application Enablement Platforms Overview,Bash Shell Scripting ,Business Communication,Client-Side Technologies,Cloud computing and Dockers fundamentals,Computer Networks Fundamentals,Cross Platform Mobile Development,CSS Frameworks,Data Structures and Algorithms,Database Fundamentals,Design Patterns,Developing Applications using Java Programming,Effective Communication Skills,Effective Presentation Skills,HTML5 & CSS3,Interviewing Skills,Introduction to Embedded Systems,Introduction to Programming,Introduction to Software Engineering,IoT Applications Development using master of things platform  ,IOT Applications Development using Thingworx,IoT Big Data using Hadoop,IoT Lab Devices Hands on,IoT Prototyping Boards ,IoT Security and IOT Alliances ,IoT Value Chain & AEP Features ,IoT Wireless Technologies ,JavaScript Libraries,MongoDB,MySQL Database,Node.js,Object-Oriented Programming Concepts,Operating Systems Fundamentals,Principles of Successful Teamwork,Push and Pull Technologies,Python Programming,React.js,Real Time Operating Systems,Red Hat System Administration I,Red Hat System Administration II,Unit & Automated Testing,Version Control Systems,Web Services ,XML Fundamentals",Smart Village,"Sherine Mahmoud Bahader,mohamed suliman abdelbaky brikaa,Mark Monir Ibrahim Anis Wahba,shaimaa nabil kamal ahmed hussin,Andrew Nagy Nemr Faltas ,FatmaKhaled Osman Galal,Mohamed Ibrahim ElSabagh,Dina Abdullah Elgamal","The Internet of Things (IoT) is the network of physical objects that contain embedded technology to communicate and sense or interact with their internal states or the external environment. According to Harbor research the business value will reach 1 Trillion $. The need to understand and develop applications for this kind of business is highly important and required.
","IoT Application Developer,IoT Systems Integration Engineer,IoT end-to-end Architect"
http://www.iti.gov.eg/Admission/PTPprogram/intake41/MMADtrack,Mobile Application Development (Cross Platform)," ASP.Net Core MVC,.Net Design Patterns,Advanced JavaScript ,Advanced Presentation Skills,Advanced SQL Server Programming,Agile Software Development Methodologies,Angular Fundamentals,ASP.Net Core Blazor,ASP.Net SignalR,Building Cross Platform With Xamarin using C#  ,Business Communication,Client-Side Technologies,Data Structures and Algorithms,Database Fundamentals,DevOps,Entity Framework 6 & Core,ES.Next,Firebase Essentials for Android,Flutter development,HTML5 & CSS3,IIS Administration,Interviewing Skills,Introduction to gRPC on .Net Core,Introduction to MS - Azure ,Introduction to Programming,Introduction to Software Engineering,JQuery Fundamentals ,Language Integrated Query (LINQ),MongoDB,MVVM Light Toolkit Fundamentals,Node.js Fundamentals,Object Oriented Analysis & Design using UML,Object-Oriented Programming Concepts,Principles of Successful Teamwork,React.js,ReactNative,Responsive web design fundamentals,Service Oriented Applications with WCF and Web API,Unit Testing,UX Design Principles For Mobile Apps ,Visual C# .Net,Windows Presentation Foundation ,XAML Fundamentals",Smart Village,"Hany Safwat Labib,Yasmine Naseh El Metwally Diab,Sherihan Mohamed Ahmed Abdrabou,Niveen Nasr ElDen ElNasser Morsi,Rami Mohamed Mohamed Elsayed,Rana Mohamed Naguib ,Nada Elaraby Mohamed Shaaban,Mohamed Nasser Hosni Farg,Karim ElSayed Haddad,Nermin Shawkat Ibrahim,Wessam Abdelkhalek Abass Abdelaziz","Mobile Application Development (Cross Platform) training program aims at delivering a unique practice-based software engineering education environment that constitutes a synergistic function between cross and native applications development. 

Participants will learn the essential concepts of mobile applications development through a practical, hands-on approaches utilizing latest technology and new released devices and software libraries and Mobile frameworks . 
","Microsoft .Net Full-Stack Web Developer,Fullter Developer,Xamarin Developer,React Native Developer,MERN Stack Developer,MEAN Stack Developer,Microsoft Desktop Solution Developer"
http://www.iti.gov.eg/Admission/PTPprogram/intake41/SAtrack,Software Architecture," ASP.Net Core MVC,.Net Design Patterns,Advanced JavaScript ,Advanced Presentation Skills,Advanced SQL Server Programming,Agile Software Development Methodologies,Angular Fundamentals,ASP.Net Core Blazor,ASP.Net SignalR,Aspect Oriented Architecture,AWS Fundamentals,Business Communication,Client-Side Technologies,Cloud Application Architecture & Scalability,Data Structures and Algorithms,Database Fundamentals,DevOps,Docker and Kubernetes Fundamentals,Domain Driven Design,Entity Framework 6 & Core,ES.Next,Event Driven Architecture with Event Sourcing,HTML5 & CSS3,IIS Administration,Interviewing Skills,Introduction to gRPC on .Net Core,Introduction to MS - Azure ,Introduction to Programming,Introduction to Software Architecture ,Introduction to Software Engineering,JQuery Fundamentals ,Language Integrated Query (LINQ),MicroServices Architecture,Microsoft Team Foundation Server & VS Architecture Tools,Modern Software Architecture Concepts and Techniques,MongoDB,MVVM Light Toolkit Fundamentals,Node.js Fundamentals,Object Oriented Analysis & Design using UML,Object-Oriented Programming Concepts,ORM Concepts and Techniques,Principles of Successful Teamwork,Responsive web design fundamentals,Service Oriented Applications with WCF and Web API,SOA Design Concepts with N Layered Architecture,SOLID Design Principles,Test Driven Development,Unit Testing,Visual C# .Net,Windows Presentation Foundation ,XML Fundamentals",Smart Village,"Hany Safwat Labib,Yasmine Naseh El Metwally Diab,Sherihan Mohamed Ahmed Abdrabou,Niveen Nasr ElDen ElNasser Morsi,Rami Mohamed Mohamed Elsayed,Rana Mohamed Naguib ,Nada Elaraby Mohamed Shaaban,Mohamed Nasser Hosni Farg,Karim ElSayed Haddad,Nermin Shawkat Ibrahim,Wessam Abdelkhalek Abass Abdelaziz","Software Architect Track aims to graduate professional, world class, and well educated software engineering that will be responsible for 
dictating design choices to software developers, recognizing potential reuse in the organization or in the application across several disciplines , able to adapt fast to new technologies and to research technologies that can fit in : System designs, software designs, Systems management, Web application design and modeling, Desktop application design and modeling, and Applications programming and system analysis","Microsoft Desktop Solution Developer,Solution Architect,MEAN Stack Developer,Cloud Application Developer,Microsoft .Net Full-Stack Web Developer"
http://www.iti.gov.eg/Admission/PTPprogram/intake41/PDtrack,Professional Web Development & BI," ASP.Net Core MVC,.Net Design Patterns,Advanced JavaScript ,Advanced Presentation Skills,Advanced SQL Server Programming,Agile Software Development Methodologies,Angular Fundamentals,ASP.Net Core Blazor,ASP.Net SignalR,Azure machine learning,Business Communication,Client-Side Technologies,Data Structures and Algorithms,Database Fundamentals,DevOps,Elective Course ( Introduction to Machine Learning & Data Scientist),Elective Course (Calculus & Statistics Concepts),Elective Course (IBM Datastage and Integration),Entity Framework ,ES.Next,HTML5 & CSS3,IIS Administration,Interviewing Skills,Introduction to Big Data & Hadoop,Introduction to Data Mining Algorithms,Introduction to gRPC on .Net Core,Introduction to MS - Azure ,Introduction to Programming,Introduction to Software Engineering,JQuery Fundamentals ,Language Integrated Query(LINQ),Microsoft Azure for Developer (Dev,Storage,Cognetive),Microsoft SQL Server - Business Intelligence,Microsoft Team Foundation Server & VS Architecture Tools,MongoDB,Node.js Fundamentals,Object Oriented Analysis & Design using UML,Object-Oriented Programming Concepts,PowerPivot & Power BI,Principles of Successful Teamwork,Responsive Web Fundamentals,Service Oriented Applications with WCF and Web API,Unit Testing,Visual C# .Net,Windows Presentation Foundation ,XML Fundamentals","Assiut,Ismailia,Mansoura,Alexandria,Smart Village","Hany Safwat Labib,Yasmine Naseh El Metwally Diab,Sherihan Mohamed Ahmed Abdrabou,Niveen Nasr ElDen ElNasser Morsi,Rami Mohamed Mohamed Elsayed,Rana Mohamed Naguib ,Nada Elaraby Mohamed Shaaban,Mohamed Nasser Hosni Farg,Karim ElSayed Haddad,Nermin Shawkat Ibrahim,Wessam Abdelkhalek Abass Abdelaziz","Professional Web Development & BI training program aims to graduate professional, world class, and well educated software engineering developers who are capable of using different .NET technologies in diverse application domains and will be capable of using different and newest technologies  and techniques. Participants will learn the essential concepts of Software Engineering systems development through a practical, hands-on approaches. The program is constructed to design and develop Web Applications ,Desktop Applications, Business Intelligent and Big Data solutions and Cloud Applications .
","Microsoft Desktop Solution Developer,Microsoft .Net Full-Stack Web Developer,Microsoft Cloud Application Developer,Business Intelligence & Machine Learning Specialist,MEAN Stack Developer"
http://www.iti.gov.eg/Admission/PTPprogram/intake41/MADtrack,Mobile Applications Development (Native),"Advanced Presentation Skills,Agile Software Development Methodologies,Android Applications Unit Testing,API for XML Processing Using Java  ,Business Communication,Computer Networks Fundamentals,Data Structures and Algorithms,Database Fundamentals,Design Patterns for Android,Design Patterns for iOS,Developing Applications for Android Platform,Developing Applications for Android using Kotlin,Developing Applications for iOS ,Developing Applications for iOS using Swift,Developing Applications using Java Programming,Interviewing Skills,Introduction to Android Applications Security,Introduction to Applications Security using Java Programming,Introduction to Flutter Development,Introduction to iOS Applications Security,Introduction to Object Oriented Programming using C++,Introduction to Servlets,Introduction to Software Engineering Processes,Introduction to Testing and automated unit test ,Introduction to Web Technologies,iOS Applications Unit Testing,Java API for Restful Web Service,Java Design Principles and Patterns,Material Design,Mobile User Interface Concepts (UI),Object Oriented Analysis & Design using UML,Objective C,Operating Systems Fundamentals,Principles of Successful Teamwork,Project Configuration Management,Reactive programming for iOS,Rx Java for Android,Versioning Control Systems,XML Fundamentals","Ismailia,Smart Village","Mohsen Mahmoud Ahmed Mohamed Diab,Eman Hesham Hassan,Ahmed Mohamed Husein Mazen,Ahmed Mostafa Amin Aboulroos,Esraa Eid Awad Hassan,Mona Mahrous Mohammed","Mobile Applications Developer track offers an extraordinary learning experience, giving the students the chance to gain experience in developing applications for mobiles from different categories and with different platforms and operating systems, with more than 46% of the track focusing on how can you make a stand alone mobile application for smartphones and deliver it on diverse operating systems like android and iOS, and how can we use Java Enterprise Edition (JEE) API’s to integrate with custom made web applications and Enterprise applications.

An Intensive soft skills package is also delivered so that graduates can deeply understand how to manage projects and build teams.","Mobile Applications Developer for the iOS Platform,Mobile Applications Developer for the Android Platform,Mobile Applications Developer"
http://www.iti.gov.eg/Admission/PTPprogram/intake41/OSDtrack,Open Source Applications Development,"Advanced Presentation Skills,Agile Software Development Methodologies,AngularJS,Apache Web Server,Application Security Basics,Bash Shell Scripting ,Blockchain Fundamentals,Business Communication,Client-Side Technologies,Cloud computing and Dockers fundamentals,Computer Networks Fundamentals,Cross Platform Mobile Development,CSS Frameworks,Data Structures and Algorithms,Database Fundamentals,Design Patterns,Developing Applications using Java Programming,HTML5 & CSS3,Interviewing Skills,Introduction to Programming,Introduction to Software Engineering,JavaScript Libraries,MongoDB,MySQL Database,Node.js,Object-Oriented Programming Concepts,Odoo ERP,Operating Systems Fundamentals,PHP CMSs,PHP Programming,PHP Web Frameworks,Principles of Successful Teamwork,Push and Pull Technologies,Python Programming,React.js,Red Hat System Administration I,Red Hat System Administration II,Ruby Programming,Unit & Automated Testing,Version Control Systems,Vue.Js,Web Services ,XML Fundamentals","Mansoura,Alexandria,Smart Village","Sherine Mahmoud Bahader,mohamed suliman abdelbaky brikaa,Mark Monir Ibrahim Anis Wahba,shaimaa nabil kamal ahmed hussin,Andrew Nagy Nemr Faltas ,FatmaKhaled Osman Galal,Mohamed Ibrahim ElSabagh,Dina Abdullah Elgamal",Open Source Applications Development track graduates professional and highly distinguished developers who are capable of developing applications using Open Source Tools securely under Linux platform,"Full Stack Developer,Backend Developer,Front-End Developer,Odoo Developer,MEAN Stack Developer"
http://www.iti.gov.eg/Admission/PTPprogram/intake41/CPDtrack,Cloud Platform Development,"Advanced Networking,Advanced Presentation Skills,Agile Software Development Methodologies,Amazon PaaS Web Services,Apache Web Server,Application Containers ,Application Security Basics,Bash Shell Scripting ,Big Data and Data Science Fundamentals,Business Communication,Client-Side Technologies,Cloud Computing Fundamentals,Computer Networks Fundamentals,Configuration management,Continuous Delivery (Automation, Integration and Testing),Data Structures and Algorithms,Database Fundamentals,Developing Applications using Java Programming,Effective Communication Skills,Effective Presentation Skills,Enterprise Applications Architecture and Integration,Functional Programming using Scala,HTML5 & CSS3,Interviewing Skills,Introduction To IOT,Introduction to Programming,Introduction to Software Engineering,Messagge Queeing,MicroServices Architecture,MySQL Database,NoSQL Databases,Object-Oriented Programming Concepts,OpenStack APIs,Operating Systems Fundamentals,Principles of Successful Teamwork,Push and Pull Technologies,Python Programming,React.js,Red Hat System Administration I,Red Hat System Administration II,Red Hat System Administration III,Ruby Programming,Terraform Cloud Remote State,Unit & Automated Testing,Version Control Systems,Web Services ,XML Fundamentals",Smart Village,"Sherine Mahmoud Bahader,mohamed suliman abdelbaky brikaa,Mark Monir Ibrahim Anis Wahba,shaimaa nabil kamal ahmed hussin,Andrew Nagy Nemr Faltas ,FatmaKhaled Osman Galal,Mohamed Ibrahim ElSabagh,Dina Abdullah Elgamal","Are you interested in cloud technologies?, Do You know what is DevOps? , Did you hear about CI/CD?. Do not worry about all of these terms, we will help you to know and get hands on experience on these technologies!","DevOps Engineer,Cloud Application Developer,Backend Developer"
